name,estimate: 2010,estimate: 2015,estimate: 2020,lower_ci: 2010,lower_ci: 2015,lower_ci: 2020,upper_ci: 2010,upper_ci: 2015,upper_ci: 2020
Regional Growth Centers,80.6,82.1,82.3,78.2,80,80.3,82.9,84.1,84.3
King County RGCs,81.7,83.2,83.4,79.2,81.1,81.4,84.2,85.2,85.5
Auburn,75.3,74.9,74.8,72.9,72.5,72.4,77.6,77.2,77.2
Bellevue,86.5,85.4,85.4,83.8,83.7,83.6,89.2,87.1,87.1
Burien,79.6,77.8,77.8,77.9,76.4,76.5,81.3,79.2,79.2
Federal Way,NA,NA,75.3,NA,NA,73.3,NA,NA,77.4
Issaquah,79.1,81.1,82,77.4,79.7,80.7,80.8,82.5,83.4
Kent,78.8,78.5,78.4,76.6,76.4,76.3,80.9,80.6,80.5
Kirkland Greater Downtown,87.5,86.2,85.8,85.7,84.8,84.3,89.2,87.6,87.2
Kirkland Totem Lake,81.5,81,80.9,79.8,79.5,79.4,83.2,82.5,82.4
Redmond Downtown,85.6,90.6,90.5,83.5,88.7,88.6,87.7,92.5,92.4
Redmond-Overlake,87.1,89,89,84.5,86.9,86.9,89.7,91,91
Renton,81,81.9,81.9,78.8,80.2,80.2,83.2,83.6,83.6
SeaTac,79,78.3,78,77,76.4,76.1,81.1,80.1,79.9
Seattle Downtown,80.9,83,83.4,78.3,80.9,81.4,83.5,85,85.4
Seattle First Hill/Capitol Hill,79.9,82.8,82.9,77.1,80.4,80.5,82.7,85.2,85.2
Seattle Northgate,82.1,83.1,82.9,80,81.3,81.2,84.2,84.8,84.7
Seattle South Lake Union,89.8,82.9,83.7,86.6,81.3,82,93,84.6,85.4
Seattle University Community,84.9,85.7,85.9,82.2,82.7,82.8,87.5,88.7,88.9
Seattle Uptown,83.4,86.3,86.6,81.4,84.2,84.5,85.4,88.3,88.6
Tukwila,83.9,80.1,80.1,81.5,78.2,78.2,86.4,82.1,82.1
Kitsap County RGCs,81.3,82.1,81.8,78.9,79.7,79.4,83.6,84.4,84.1
Bremerton,78.6,78.6,78.6,76,75.9,76,81.1,81.2,81.2
Silverdale,83.7,84.9,84.9,81.5,82.9,82.8,85.8,87,87
Pierce County RGCs,76.3,77.1,77,74.2,75.2,75,78.4,79.1,79
Lakewood,78.3,76.7,76.7,76.3,74.5,74.6,80.2,78.8,78.9
Puyallup Downtown,77.1,78.2,78.2,75.3,76.2,76.2,78.9,80.2,80.2
Puyallup South Hill,78.1,77.3,77.1,76.2,75.8,75.6,79.9,78.8,78.6
Tacoma Downtown,74.8,77.4,77.5,72.4,75.2,75.3,77.2,79.5,79.7
Tacoma Mall,75.1,73.8,73.6,73.2,72.1,71.9,77.1,75.5,75.3
University Place,79.4,79,78.7,77.6,77.1,76.8,81.2,80.9,80.6
Snohomish County RGCs,78,78.8,78.8,75.9,76.7,76.8,80.1,81,80.9
Bothell Canyon Park,80.8,83.8,83.8,78.6,82.1,82.1,82.9,85.5,85.5
Everett,77,77.6,77.4,74.8,75.2,75,79.2,80,79.7
Lynnwood,80.5,81.2,81,78.8,79.7,79.5,82.2,82.8,82.5
Metro Growth Centers,80.6,82.7,83,78,80.5,80.9,83.2,84.9,85.2
Urban Growth Centers,80.5,80.6,80.6,78.5,78.9,78.8,82.4,82.4,82.4
Not in a Regional Growth Center,80.6,80.8,80.8,78.6,79,79,82.5,82.6,82.6
Manufacturing Industrial Centers,79.3,80.7,80.8,77.2,78.6,78.9,81.4,82.7,82.8
King County MICs,79.2,82,82.3,77,79.8,80.2,81.4,84.2,84.5
Ballard-Interbay,82.8,85.3,86.7,80.9,83.4,84.8,84.7,87.3,88.6
Duwamish,74,81.5,82.9,71.5,79.3,80.7,76.5,83.7,85.1
Kent MIC,77,74.3,74.2,74.8,71.9,71.8,79.2,76.6,76.6
North Tukwila,75.8,78.1,76.7,72.4,74.6,73.6,79.1,81.5,79.8
Kitsap County MICs,81.5,85.9,85.8,79.8,84.6,84.4,83.2,87.3,87.2
Puget Sound Industrial Center - Bremerton,81.5,85.9,85.8,79.8,84.6,84.4,83.2,87.3,87.2
